recording_date,anno.res_index_label,code,drivers,cell_name,patched_cell_container,63x_call
2018-01-02,1.0,mIVSCC-MET,Chat-IRES-Cre-neo,Chat-IRES-Cre-neo;Ai14-365769.04.02.01,P8S4_180102_351_A01,63x go
2018-01-02,0.0,mIVSCC-MET,Chat-IRES-Cre-neo,Chat-IRES-Cre-neo;Ai14-365769.04.02.02,P8S4_180102_352_A01,
2018-01-02,0.7455432,mIVSCC-MET,Chat-IRES-Cre-neo,Chat-IRES-Cre-neo;Ai14-365769.05.02.01,P8S4_180102_353_A01,
2018-01-02,0.880454162,mIVSCC-MET,Pdyn-T2A-CreERT2,Pdyn-T2A-CreERT2;Ai14-366659.04.01.01,P9S4_180102_401_A01,63x go
2018-01-02,1.0,mIVSCC-MET,Chat-IRES-Cre-neo,Chat-IRES-Cre-neo;Ai14-365769.03.01.01,P9S4_180102_402_A01,63x no go
2018-01-02,1.0,mIVSCC-MET,Pdyn-T2A-CreERT2,Pdyn-T2A-CreERT2;Ai14-366659.05.01.01,P9S4_180102_403_A01,63x go
2018-01-03,0.0,mIVSCC-MET,Calb1-IRES2-Cre Sst-IRES-FlpO,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.01,P8S4_180103_351_A01,
2018-01-03,1.0,mIVSCC-MET,Calb1-IRES2-Cre Sst-IRES-FlpO,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-366183.04.02.02,P8S4_180103_352_A01,63x no go
2018-01-03,0.880454162,mIVSCC-MET,Pdyn-T2A-CreERT2,Pdyn-T2A-CreERT2;Ai14-366660.05.02.01,PAS4_180103_451_A01,63x no go
2018-01-03,0.7848871,mIVSCC-MET,Pdyn-T2A-CreERT2,Pdyn-T2A-CreERT2;Ai14-366660.04.02.01,PAS4_180103_452_A01,63x go
2018-01-04,0.7032078,mIVSCC-MET,Crh-IRES-Cre_ZJH Sst-IRES-FlpO,Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-366034.04.02.01,P8S4_180104_351_A01,
2018-01-05,0.0,mIVSCC-MET,Pdyn-T2A-CreERT2,Pdyn-T2A-CreERT2;Ai14-366661.05.02.01,PAS4_180105_451_A01,
2018-01-08,0.4586377,mIVSCC-MET,Nos1-CreERT2,Nos1-CreERT2;Ai14-367206.03.01.01,P2S4_180108_051_A01,
2018-01-08,0.4586377,mIVSCC-MET,Pvalb-T2A-FlpO Vipr2-IRES2-Cre,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-367940.03.01.01,P2S4_180108_052_A01,
2018-01-08,0.0,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.04.01.01,P2S4_180108_053_A01,
2018-01-08,0.609374,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.04.01.02,P2S4_180108_054_A01,63x go
2018-01-08,0.0,mIVSCC-MET,,Chat-IRES-Cre-neo;Ai14-367630.03.02.01,P2S4_180108_055_A01,
2018-01-08,0.0,mIVSCC-MET,,Chat-IRES-Cre-neo;Ai14-367630.03.02.02,P2S4_180108_056_A01,
2018-01-08,0.4586377,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.04.02.01,P8S4_180108_351_A01,
2018-01-08,0.4586377,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.04.02.02,P8S4_180108_352_A01,
2018-01-08,1.0,mIVSCC-MET,Pvalb-T2A-FlpO Vipr2-IRES2-Cre,Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;Ai65-367940.02.02.01,P8S4_180108_353_A01,63x go
2018-01-08,0.7032078,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.03.02.01,P8S4_180108_354_A01,
2018-01-08,1.0,mIVSCC-MET,Nos1-CreERT2,Nos1-CreERT2;Ai14-367206.04.01.01,P9S4_180108_401_A01,63x go
2018-01-08,0.4586377,mIVSCC-MET,Nos1-CreERT2,Nos1-CreERT2;Ai14-367206.04.01.02,P9S4_180108_402_A01,
2018-01-08,1.0,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.03.01.01,P9S4_180108_403_A01,63x no go
2018-01-08,0.5704406,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.03.01.02,P9S4_180108_404_A01,
2018-01-08,1.0,mIVSCC-MET,Chrna2-Cre_OE25,Chrna2-Cre_OE25;Ai14-367169.05.02.01,P9S4_180108_405_A01,63x no go
